time_utc,global_in_plane_irradiance_w_m2
20200101:0030,0.0
20200101:0130,0.0
20200101:0230,0.0
20200101:0330,0.0
20200101:0430,0.0
20200101:0530,0.0
20200101:0630,0.0
20200101:0730,0.0
20200101:0830,0.0
20200101:0930,0.0
20200101:1030,0.0
20200101:1130,0.0
20200101:1230,0.0
20200101:1330,0.0
20200101:1430,10.25
20200101:1530,95.7
20200101:1630,183.2
20200101:1730,282.95
20200101:1830,305.75
20200101:1930,212.25
20200101:2030,285.31
20200101:2130,293.11
20200101:2230,178.41
20200101:2330,11.5
20200102:0030,0.0
20200102:0130,0.0
20200102:0230,0.0
20200102:0330,0.0
20200102:0430,0.0
20200102:0530,0.0
20200102:0630,0.0
20200102:0730,0.0
20200102:0830,0.0
20200102:0930,0.0
20200102:1030,0.0
20200102:1130,0.0
20200102:1230,0.0
20200102:1330,0.0
20200102:1430,10.5
20200102:1530,117.85
20200102:1630,279.56
20200102:1730,436.01
20200102:1830,500.37
20200102:1930,503.77
20200102:2030,446.57
20200102:2130,319.41
20200102:2230,181.06
20200102:2330,12.05
20200103:0030,0.0
20200103:0130,0.0
20200103:0230,0.0
20200103:0330,0.0
20200103:0430,0.0
20200103:0530,0.0
20200103:0630,0.0
20200103:0730,0.0
20200103:0830,0.0
20200103:0930,0.0
20200103:1030,0.0
20200103:1130,0.0
20200103:1230,0.0
20200103:1330,0.0
20200103:1430,7.8
20200103:1530,157.61
20200103:1630,312.16
20200103:1730,405.91
20200103:1830,494.32
20200103:1930,500.47
20200103:2030,440.96
20200103:2130,331.41
20200103:2230,178.96
20200103:2330,12.3
20200104:0030,0.0
20200104:0130,0.0
20200104:0230,0.0
20200104:0330,0.0
20200104:0430,0.0
20200104:0530,0.0
20200104:0630,0.0
20200104:0730,0.0
20200104:0830,0.0
20200104:0930,0.0
20200104:1030,0.0
20200104:1130,0.0
20200104:1230,0.0
20200104:1330,0.0
20200104:1430,10.7
20200104:1530,139.51
20200104:1630,310.96
20200104:1730,432.61
20200104:1830,488.52
20200104:1930,499.62
20200104:2030,444.76
20200104:2130,337.66
20200104:2230,185.96
20200104:2330,12.35
20200105:0030,0.0
20200105:0130,0.0
20200105:0230,0.0
20200105:0330,0.0
20200105:0430,0.0
20200105:0530,0.0
20200105:0630,0.0
20200105:0730,0.0
20200105:0830,0.0
20200105:0930,0.0
20200105:1030,0.0
20200105:1130,0.0
20200105:1230,0.0
20200105:1330,0.0
20200105:1430,8.1
20200105:1530,161.16
20200105:1630,319.71
20200105:1730,440.97
20200105:1830,502.52
20200105:1930,506.62
20200105:2030,447.81
20200105:2130,336.66
20200105:2230,188.11
20200105:2330,12.7
20200106:0030,0.0
20200106:0130,0.0
20200106:0230,0.0
20200106:0330,0.0
20200106:0430,0.0
20200106:0530,0.0
20200106:0630,0.0
20200106:0730,0.0
20200106:0830,0.0
20200106:0930,0.0
20200106:1030,0.0
20200106:1130,0.0
20200106:1230,0.0
20200106:1330,0.0
