run_name,architecture,budget,optimizer_seed,gate_pass,required_manifest_checks_pass,episodes,global_steps,runtime_minutes,parameter_count,convergence_relative_change,greedy_reward,greedy_packets_per_step,greedy_zero_action_fraction,greedy_fnd_free_steps,greedy_throughput,greedy_queue_fairness,greedy_delivery_ratio,q_max_absolute_difference,q_relative_difference,q_s1_argmax,q_s8_argmax,q_argmax_changed,reward_packet_fraction,reward_idle_fraction,reward_death_fraction,reward_harvest_fraction,reward_declining_fraction,reward_fairness_fraction,stability_fnd_relative_span,stability_throughput_relative_span,stability_fairness_relative_span,first50_reward,last50_reward,first50_packets_per_step,last50_packets_per_step,first50_zero_action_fraction,last50_zero_action_fraction,first50_stale_drops,last50_stale_drops,last50_mean_loss
registered_shared_b8_seed2299,shared_branching,8,2299,True,True,500,81984,51.22823637723923,2842811,0.021659387376004636,143.27534914408272,6.011034965047253,0.07478039641813587,148.08,10705.72,0.3705864776118265,0.6557783311891814,0.027063369750976562,0.0010557228826018892,2,2,False,0.614059935407624,0.06346418071954057,0.004448521323536504,0.0660101650149695,0.09717306193643122,0.1548441355978982,0.004053688856859704,0.004978552108471528,0.025863197240217375,273.1622579112013,150.57328566618648,7.212790147060824,6.082141922429993,0.04041410709178266,0.07492058635888989,5124.78,5218.04,0.008332857940984475
registered_shared_b8_seed3299,shared_branching,8,3299,True,True,500,82533,50.83849875926971,2842811,0.012518011210085708,154.78397247480208,6.203739165956932,0.07660906548108319,148.92,10857.36,0.40002217249602834,0.6586165537182478,0.0098876953125,0.0009086160781578089,1,1,False,0.6144585054816104,0.062099678157263,0.004755955008299415,0.06747673381430308,0.09677751201169592,0.15443161552682816,0.006467259498787252,0.008712520090893948,0.044238229265220905,271.1437451905317,164.0829448190676,7.220899507033326,6.287539306524306,0.04099699974840901,0.07185788873123682,5079.82,5224.14,0.02885602455487714
registered_shared_b8_seed4299,shared_branching,8,4299,True,True,500,82200,46.77067751089732,2842811,0.008529998591080345,155.49045690842797,6.229744633964937,0.0670537687566756,148.56,10813.88,0.39776222994201005,0.6591599472182399,0.0069122314453125,0.0002924385981829912,1,1,False,0.6145553104025616,0.06188735941205254,0.004607532195656295,0.06612769792676598,0.09754413799190631,0.1552779620710572,0.0056715880446525264,0.0009909324748539636,0.018148642776703,272.34948470602393,163.33094197503905,7.219335978074397,6.304839104201969,0.04102663771578227,0.06861699835020545,5089.66,5183.06,0.023721809348171256
registered_shared_b12_seed2299,shared_branching,12,2299,True,True,500,78331,43.78720264434814,2842811,0.016925758271775615,143.0370000503979,7.89595883251139,0.08469802710920359,141.28,10409.48,0.4313021861593703,0.6729842545897435,0.0017938613891601562,0.00011219785761143466,2,2,False,0.5924740828863924,0.1006845657480914,0.00561536403354063,0.0626834599897581,0.0934649536560433,0.1450775736861741,0.0036754311563472588,0.014283052768051266,0.018510395483688123,300.06110481159163,153.98416390010865,10.406928373562144,8.038986486424342,0.0400249206059289,0.08183927404977,4361.8,4707.72,0.013120376978667194
registered_shared_b12_seed3299,shared_branching,12,3299,True,True,500,78460,44.07074527740478,2842811,0.006839861156768338,156.64334450694497,8.258838717886157,0.07786826984952797,144.68,10553.0,0.44815057537991415,0.6769080808781439,0.003459930419921875,0.00018682791130720833,0,0,False,0.5971808158799415,0.0980277518917356,0.005983357709091883,0.06543577065198491,0.09439917609125263,0.13897312777599347,0.01195773081201334,0.018597233613961015,0.024644422521433545,305.4632432466682,169.35999640048433,10.407281189338855,8.460333153094847,0.041253276361421815,0.07173108068482843,4424.78,4648.72,0.03181245787041936
registered_shared_b12_seed4299,shared_branching,12,4299,True,True,500,77675,43.34586895306905,2842811,0.007601878655394673,149.3276047707257,7.985394171567227,0.078079197451694,141.32,10369.6,0.43832593924607666,0.6738534254066018,0.011402130126953125,0.0008710840741846555,1,1,False,0.5952118175494385,0.09653163244078897,0.0058942082723281945,0.06446102302328288,0.0945787350938238,0.14332258362033762,0.0022620169651271903,0.010672158771765501,0.014998515139576493,297.35786585939974,160.38553098310118,10.396068968230965,8.1717745259234,0.03900131035322461,0.07334769824853132,4322.72,4605.84,0.0328180831495732
registered_shared_b16_seed2299,shared_branching,16,2299,True,True,500,74894,41.11615066925685,2842811,0.004616242149829467,148.79003825683762,9.495815261127596,0.08453202337795546,137.44,10267.6,0.5143509940046773,0.6872357893180356,0.001331329345703125,5.769422786608062e-05,2,2,False,0.5720814803708509,0.13117140493867302,0.004292839068860093,0.061802003034155326,0.09037389972214953,0.14027837286531103,0.004665176401982601,0.005499096438217783,0.0064821803222354655,307.7745393904185,158.385020412827,13.274277211608549,9.649027743201144,0.04208245873548936,0.0844143004142459,3751.6,4287.72,0.02188887130286213
registered_shared_b16_seed3299,shared_branching,16,3299,True,True,500,74157,41.786617529392245,2842811,0.019985160920581297,164.93115381154058,10.077864904912378,0.07457757377849408,135.32,10271.52,0.5563745544154215,0.6920623494954435,0.00046825408935546875,4.7521883779087315e-05,1,1,False,0.5767021631755985,0.12741011467760754,0.0035540192095731647,0.0638108462449045,0.09126869466741418,0.13725416202490207,0.0020697811945594407,0.01619077773300328,0.05996837940169079,314.5726918916081,168.81650180898498,13.273301507208242,10.130460067966919,0.04285131488610415,0.07484016145307218,3801.3,4157.02,0.028154803619990735
registered_shared_b16_seed4299,shared_branching,16,4299,True,True,500,75076,41.91779613494873,2842811,0.0020055253547119163,151.1567430352047,9.448116842881204,0.07952184572067503,137.08,10366.16,0.5400831400140488,0.6872737136026753,0.0013866424560546875,0.0001042771862601396,3,3,False,0.5699475584743863,0.12746185238767818,0.005058123268392089,0.0627419299996257,0.0893874807858601,0.14540305508405765,0.0014575842969584245,0.00985339287097017,0.056354932853496194,311.3678057714595,158.34064987147664,13.276666053005231,9.629654420155756,0.03976113681134712,0.07837796687496726,3783.28,4268.42,0.027957998350636927
registered_shared_b20_seed2299,shared_branching,20,2299,True,True,500,72086,39.79566292762756,2842811,0.018223691105355908,145.01219736265716,10.180864935966715,0.0822332533152546,136.12,10178.64,0.5189894884162991,0.6931591622576687,0.00986337661743164,0.001447848375522522,2,2,False,0.5612339712707858,0.14938824469339207,0.0050419646916265584,0.06171205664464178,0.08756294301898224,0.13506081968057163,0.002347877127763597,0.015501310564149105,0.015500187739197115,302.8017679760549,155.56253656326297,15.838406080670019,10.657037362395185,0.04289775133260946,0.07811237550723084,3229.2,4020.66,0.022779259704015193
registered_shared_b20_seed3299,shared_branching,20,3299,True,True,500,71040,40.045733682314555,2842811,0.010158692024036313,146.4261573476814,11.061935404080595,0.08452446774782406,132.52,9835.36,0.5271932834884104,0.6994221608068447,0.009654045104980469,0.0009947313532581604,1,1,False,0.5623858869004482,0.15390656269578576,0.00510047704252173,0.06214086229202063,0.08883096953216381,0.12763524153705996,0.01584560690705952,0.014984916982088531,0.004021702576539256,301.52923901249966,158.20449020892818,15.809092463838194,11.385195913825509,0.04350260253021107,0.08296407069095908,3223.34,3833.42,0.02565915219460821
registered_shared_b20_seed4299,shared_branching,20,4299,True,True,500,71917,40.419778589407606,2842811,0.01484888824614321,142.28847310583697,10.671722426576721,0.07761486791494489,134.64,10005.68,0.5436468763995284,0.6977097590254908,0.009534835815429688,0.000992252530353122,3,3,False,0.556448556440438,0.1539277668983317,0.00543996490557494,0.06024429132377057,0.08917696433802552,0.13476245609385928,0.0011890606420927217,0.004254911891023241,0.04935378753002255,298.7625216540697,155.3116307969662,15.797177926321906,10.861783291074069,0.0434790880486829,0.07816944657346904,3203.82,4009.98,0.028320318085443018
registered_shared_b24_seed2299,shared_branching,24,2299,True,True,500,68937,38.11083449920019,2842811,0.03365683765418867,133.94036872598448,11.320083232317389,0.08838270907437684,131.52,9798.88,0.5657178060472555,0.7027067049774521,0.00888824462890625,0.0005262575409543557,2,2,False,0.5406086331684652,0.1783386125500181,0.0055325752003332635,0.058317404424219794,0.08593578121962561,0.13126699343733803,0.004879040455377222,0.009202516941743233,0.009071529549928785,287.8142334780594,146.4561148986954,18.146186984410832,11.908964601468986,0.04428916072244328,0.08531721536747691,2785.38,3675.04,0.02822289001557763
registered_shared_b24_seed3299,shared_branching,24,3299,True,True,500,68126,38.01778722604116,2842811,0.011324855770320996,135.24517010048422,11.440401074134236,0.08384997964741499,126.44,9703.0,0.5542655125743482,0.7022618909288583,0.0016391277313232422,0.0004213919775303378,1,1,False,0.5461871819407169,0.1732369938945213,0.0045913205424049156,0.060973799117756286,0.08627830740449251,0.1287323971001081,0.002843901411417733,0.03604098665454697,0.005751426316402797,284.8416043151944,147.9689607427979,18.07000214461763,11.84810525655732,0.04568974146878993,0.08294475932278189,2769.6,3671.5,0.02864078995745822
registered_shared_b24_seed4299,shared_branching,24,4299,True,True,500,69198,39.28239273230235,2842811,0.03152287140979647,132.1703637418588,11.191570200349688,0.08191104943919178,132.4,9768.64,0.5533503968004829,0.702075103504469,0.0013828277587890625,0.00015043107320847484,3,3,False,0.5453460215597519,0.16927427648449905,0.00538349111584866,0.060467469414674964,0.08581115448129038,0.13371758694393507,0.003927888004834187,0.0075342717483186826,0.019492634261387747,284.8864861038091,145.9391162101648,18.129038895583978,11.392989500364829,0.04411116280125445,0.07845270885436234,2772.04,3803.7,0.030339121023595615
registered_independent_b12_seed2299,independent_dqns,12,2299,True,True,500,77224,159.49875078598657,5622700,0.0035222197801896946,139.34942122577039,8.067800592296491,0.07932202870690841,139.48,10157.4,0.40632271814886173,0.6726492712659075,0.003443390130996704,0.016648906929611643,3,3,False,0.5947610565549438,0.10578339729200092,0.0048059047340340885,0.06419196759120288,0.09533072397286357,0.13512694985495471,0.0005733944954129336,0.0071828271555351006,0.0007856732020764458,300.06404929651416,151.75463848833738,10.409565859617635,8.192758080347906,0.03928499259065944,0.07827575968643478,4351.98,4586.32,0.009820546443815886
registered_independent_b12_seed3299,independent_dqns,12,3299,True,True,500,77956,161.89650361140568,5622700,0.00859880227549964,134.9407424035032,7.802120973217505,0.07480225984247374,141.96,10300.32,0.3840026692565383,0.6727634117857998,0.0021256208419799805,0.00921553834551085,1,1,False,0.5946043271373371,0.10358307383466975,0.006166904318685307,0.06729132014476574,0.09364461199718846,0.13470976256735356,0.0014081862561020604,0.0008347385844645797,0.016709870939557444,301.80934173537594,150.06052160179914,10.379275481518816,8.042655703556454,0.04054355709106055,0.07160171163774773,4400.64,4648.22,0.015162920104721764
