active_branches,canonical_declining_slots,canonical_high_slots,declining_node,energy_difference_j,equal_cap,high_node,identity_classification,inverse_allocation_l1,inverse_declining_slots,inverse_high_slots,inverse_local_argmax_agreement,inverse_marginal_q_mae,inverse_projected_allocation_agreement,inverse_projected_allocation_disagreement,kind,optimizer_seed,probe_index,raw_allocation_l1,raw_local_argmax_agreement,raw_marginal_q_mae,raw_projected_action_agreement,round,seed,target_rank
24,,,,,,,fixed_branch_identity,12.0,,,0.2916666666666667,0.3726048767566681,0.5,0.5,random,2299,0,0.0,0.9583333333333334,0.1201845034956932,1.0,0,2300,0
26,,,,,,,fixed_branch_identity,10.0,,,0.46153846153846156,0.3099839687347412,0.6153846153846154,0.38461538461538464,random,2299,1,4.0,0.9230769230769231,0.2945363521575928,0.8461538461538461,2,2300,0
26,,,,,,,fixed_branch_identity,12.0,,,0.5,0.2984544336795807,0.5384615384615384,0.46153846153846156,random,2299,2,2.0,0.9230769230769231,0.2802635133266449,0.9230769230769231,3,2300,0
31,,,,,,,fixed_branch_identity,10.0,,,0.4838709677419355,0.07453799247741699,0.6774193548387096,0.3225806451612903,random,2299,3,4.0,1.0,0.059005655348300934,0.8709677419354839,4,2300,0
26,,,,,,,fixed_branch_identity,10.0,,,0.5,0.4362158179283142,0.6153846153846154,0.38461538461538464,random,2299,4,2.0,0.8846153846153846,0.10914254933595657,0.9230769230769231,5,2300,0
25,,,,,,,fixed_branch_identity,16.0,,,0.2,0.8687471747398376,0.4,0.6,random,2299,5,2.0,0.88,0.3509955108165741,0.92,6,2300,0
26,,,,,,,fixed_branch_identity,16.0,,,0.46153846153846156,0.5434805750846863,0.46153846153846156,0.5384615384615384,random,2299,6,6.0,0.8461538461538461,0.49809953570365906,0.7692307692307693,7,2300,0
58,,,,,,,fixed_branch_identity,20.0,,,0.27586206896551724,0.13830967247486115,0.6551724137931034,0.3448275862068966,random,2299,7,0.0,0.9655172413793104,0.0643002837896347,1.0,8,2300,0
58,,,,,,,fixed_branch_identity,20.0,,,0.3103448275862069,0.12569905817508698,0.6551724137931034,0.3448275862068966,random,2299,8,0.0,0.9827586206896551,0.06787220388650894,1.0,9,2300,0
64,,,,,,,fixed_branch_identity,22.0,,,0.484375,0.11671021580696106,0.65625,0.34375,random,2299,9,2.0,0.9375,0.06694693118333817,0.96875,10,2300,0
24,,,,,,,fixed_branch_identity,14.0,,,0.4166666666666667,0.15863019227981567,0.4166666666666667,0.5833333333333334,random,2299,10,0.0,0.875,0.0334932804107666,1.0,11,2300,0
33,,,,,,,fixed_branch_identity,12.0,,,0.45454545454545453,0.4584873914718628,0.6363636363636364,0.36363636363636365,random,2299,11,2.0,0.9393939393939394,0.05033017322421074,0.9393939393939394,13,2300,0
24,,,,,,,fixed_branch_identity,10.0,,,0.4166666666666667,0.2703152596950531,0.6666666666666666,0.3333333333333333,random,2299,12,0.0,0.9583333333333334,0.23718683421611786,1.0,14,2300,0
31,,,,,,,fixed_branch_identity,14.0,,,0.3225806451612903,0.36596232652664185,0.5483870967741935,0.45161290322580644,random,2299,13,0.0,0.9354838709677419,0.17845933139324188,1.0,15,2300,0
35,,,,,,,fixed_branch_identity,14.0,,,0.4,0.3533889055252075,0.6,0.4,random,2299,14,2.0,0.9142857142857143,0.06728148460388184,0.9428571428571428,16,2300,0
28,,,,,,,fixed_branch_identity,12.0,,,0.5357142857142857,0.35510268807411194,0.5714285714285714,0.42857142857142855,random,2299,15,0.0,0.9285714285714286,0.16946884989738464,1.0,17,2300,0
36,,,,,,,fixed_branch_identity,20.0,,,0.3611111111111111,0.21630923449993134,0.4444444444444444,0.5555555555555556,random,2299,16,0.0,1.0,0.01716790348291397,1.0,18,2300,0
50,,,,,,,fixed_branch_identity,20.0,,,0.34,0.12656258046627045,0.6,0.4,random,2299,17,2.0,1.0,0.029779205098748207,0.96,19,2300,0
41,,,,,,,fixed_branch_identity,14.0,,,0.43902439024390244,0.04957667365670204,0.6585365853658537,0.34146341463414637,random,2299,18,0.0,0.975609756097561,0.004917454905807972,1.0,20,2300,0
38,,,,,,,fixed_branch_identity,14.0,,,0.2894736842105263,0.09183922410011292,0.631578947368421,0.3684210526315789,random,2299,19,0.0,0.9473684210526315,0.017597516998648643,1.0,21,2300,0
24,0,0,13,0.0,True,5,tie,2.0,0,0,1.0,0.09098633378744125,0.9166666666666666,0.08333333333333333,targeted_swap,2299,0,2.0,1.0,0.0700206458568573,0.9166666666666666,0,2300,0
