step,reward,done,allocated_slots,target_packets_delivered,target_cluster,target_ch,target_member_count,raw_packets_delivered,weighted_packets_delivered,raw_idle_energy_j,weighted_idle_energy_j,raw_deaths,weighted_deaths,raw_high_harvest_alignment,weighted_high_harvest_alignment,raw_declining_allocation,weighted_declining_allocation,raw_queue_fairness,weighted_queue_fairness,optimizer_seed,checkpoint_sha256,schedule_seed,target_rank,rollout_seed,gamma,discounted_return
0,0.9280753968253966,0,12,12,0,10,24,0.5,0.9523809523809523,-0.0264,-0.3437500000000001,-0.0,-0.0,0.05555555555555555,0.13888888888888887,-0.027777777777777776,-0.06944444444444443,0.5,0.25,2299,F67962F4F48871D7A7BA9446F1E528A6AE381305CED4E9207DB68551392C8049,2300,0,20283804,0.99,131.89912403450117
1,0.0,0,0,0,0,33,0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,2299,F67962F4F48871D7A7BA9446F1E528A6AE381305CED4E9207DB68551392C8049,2300,0,20283804,0.99,132.29398852290484
2,0.6680138771484925,0,12,12,0,10,26,0.46153846153846156,0.8791208791208791,-0.0264,-0.3437500000000001,-0.0,-0.0,0.01282051282051282,0.03205128205128205,-0.0641025641025641,-0.16025641025641024,0.5216962524654832,0.2608481262327416,2299,F67962F4F48871D7A7BA9446F1E528A6AE381305CED4E9207DB68551392C8049,2300,0,20283804,0.99,133.6302914372776
3,0.6660414905607213,0,12,12,0,10,26,0.46153846153846156,0.8791208791208791,-0.0264,-0.3437500000000001,-0.0,-0.0,0.0,0.0,-0.05128205128205128,-0.1282051282051282,0.5177514792899408,0.2588757396449704,2299,F67962F4F48871D7A7BA9446F1E528A6AE381305CED4E9207DB68551392C8049,2300,0,20283804,0.99,134.3053308688173
4,0.5279857910906296,0,12,12,0,33,31,0.3870967741935484,0.7373271889400921,-0.026400000000000003,-0.3437500000000001,-0.0,-0.0,0.04301075268817204,0.1075268817204301,-0.04301075268817204,-0.1075268817204301,0.26881720430107525,0.13440860215053763,2299,F67962F4F48871D7A7BA9446F1E528A6AE381305CED4E9207DB68551392C8049,2300,0,20283804,0.99,134.98918119015815
5,0.6200537401195295,0,12,12,0,10,26,0.46153846153846156,0.8791208791208791,-0.0264,-0.3437500000000001,-0.0,-0.0,0.01282051282051282,0.03205128205128205,-0.07692307692307691,-0.19230769230769226,0.4898785425101215,0.24493927125506074,2299,F67962F4F48871D7A7BA9446F1E528A6AE381305CED4E9207DB68551392C8049,2300,0,20283804,0.99,135.8193892919874
6,0.9416218566078115,0,12,12,0,10,25,0.48,0.9142857142857143,-0.0264,-0.3437500000000001,-0.0,-0.0,0.06666666666666667,0.16666666666666666,-0.013333333333333332,-0.033333333333333326,0.4755056179775281,0.23775280898876405,2299,F67962F4F48871D7A7BA9446F1E528A6AE381305CED4E9207DB68551392C8049,2300,0,20283804,0.99,136.56498540592716
7,0.7800378750152163,0,12,12,0,10,26,0.46153846153846156,0.8791208791208791,-0.024,-0.3125000000000001,-0.0,-0.0,0.02564102564102564,0.0641025641025641,-0.038461538461538464,-0.09615384615384616,0.4909365558912387,0.24546827794561935,2299,F67962F4F48871D7A7BA9446F1E528A6AE381305CED4E9207DB68551392C8049,2300,0,20283804,0.99,136.993296514464
8,0.1853293141635161,0,12,12,0,10,58,0.20689655172413793,0.3940886699507389,-0.0264,-0.3437500000000001,-0.0,-0.0,0.022988505747126436,0.05747126436781609,-0.034482758620689655,-0.08620689655172413,0.32745255279337077,0.16372627639668538,2299,F67962F4F48871D7A7BA9446F1E528A6AE381305CED4E9207DB68551392C8049,2300,0,20283804,0.99,137.58915014085736
9,0.22295639334710513,0,12,12,0,10,58,0.20689655172413793,0.3940886699507389,-0.0264,-0.3437500000000001,-0.0,-0.0,0.022988505747126436,0.05747126436781609,-0.028735632183908042,-0.0718390804597701,0.3739710789766407,0.18698553948832036,2299,F67962F4F48871D7A7BA9446F1E528A6AE381305CED4E9207DB68551392C8049,2300,0,20283804,0.99,138.79173820878165
