seed,policy,literature_baseline,idle_enabled,status,t_fnd,t_hnd,t_fnd_event_observed,t_hnd_event_observed,censor_round,rounds,throughput,packets_generated,delivery_ratio,stale_drop_ratio,idle_energy_j,queue_fairness,residual_energy_fairness,residual_energy_cv,mean_residual_energy_j,min_residual_energy_j,energy_consumed_j,energy_efficiency_packets_per_j,dropped_stale_packets,dropped_death_packets,dropped_overflow_packets,alive_at_end,right_censored,schedule_exhausted,configuration_id,parameters_json
2500,energy_proportional,True,True,ok,122,150,True,True,1602,1602,12736,23827,0.5345196625676754,0.4554077307256474,44.70359999999984,0.955850317446661,0.0476036152059007,4.472897036653849,0.007834033538175555,0.0,53.448822666493946,238.28401384010198,10851,220,0,5,True,True,energy_proportional:score_exponent=0.5,"{""score_exponent"": 0.5}"
2501,energy_proportional,True,True,ok,120,135,True,True,1564,1564,12298,22119,0.5559925855599258,0.43243365432433656,45.47159999999994,0.9683204173410641,0.0376014301242736,5.059123752620008,0.00620484713901321,0.0,53.356304997373165,230.48822441144407,9565,240,0,4,True,True,energy_proportional:score_exponent=0.5,"{""score_exponent"": 0.5}"
2502,energy_proportional,True,True,ok,115,132,True,True,1617,1617,12146,20474,0.5932402070919215,0.3953795057145648,45.22199999999992,0.9526317570359962,0.03738482488874647,5.07432963971469,0.006918116211127407,0.0,52.998094834867686,229.17804947224428,8095,217,0,4,True,True,energy_proportional:score_exponent=0.5,"{""score_exponent"": 0.5}"
2503,energy_proportional,True,True,ok,132,140,True,True,1603,1603,12180,20189,0.6032988260934172,0.38813215117142996,45.28439999999989,0.9597227038189036,0.03976828566810736,4.913823895474284,0.007989604911802886,0.0,52.846964743087476,230.47681279733624,7836,157,0,4,True,True,energy_proportional:score_exponent=0.5,"{""score_exponent"": 0.5}"
2504,energy_proportional,True,True,ok,112,128,True,True,1579,1579,11980,18477,0.6483736537316664,0.34004437949883637,45.259199999999886,0.9693774306976769,0.029821425411751847,5.703765219980537,0.0053137573754314426,0.0,52.78811409875038,226.94502738986077,6283,202,0,3,True,True,energy_proportional:score_exponent=0.5,"{""score_exponent"": 0.5}"
2500,harvest_proportional,True,True,ok,110,146,True,True,1602,1602,13200,25580,0.5160281469898358,0.47752150117279124,44.85479999999963,0.8917020126754336,0.05622740289374532,4.096940620690456,0.007744267672943725,0.0,53.81461340673513,245.2865339797826,12215,141,0,6,True,True,harvest_proportional:score_exponent=0.5,"{""score_exponent"": 0.5}"
2501,harvest_proportional,True,True,ok,105,134,True,True,1564,1564,12632,23116,0.5464613254888389,0.4451462190690431,45.18359999999983,0.9423558745678511,0.0428979666372984,4.723465698470765,0.006288682765125067,0.0,53.56554074326161,235.82325175330317,10290,174,0,5,True,True,harvest_proportional:score_exponent=0.5,"{""score_exponent"": 0.5}"
2502,harvest_proportional,True,True,ok,106,145,True,True,1617,1617,12765,23078,0.5531241875379149,0.43885951988907185,45.40079999999971,0.9321750549624688,0.04941942099677296,4.385767875352758,0.006531065637856981,0.0,53.509450916773346,238.5559892934468,10128,165,0,5,True,True,harvest_proportional:score_exponent=0.5,"{""score_exponent"": 0.5}"
2503,harvest_proportional,True,True,ok,107,142,True,True,1603,1603,13561,25228,0.5375376565720628,0.4568733153638814,45.4139999999996,0.8473832410461801,0.05366931069484259,4.199121621003216,0.00431984421384516,0.0,54.01325712324074,251.06799186463047,11526,117,0,6,True,True,harvest_proportional:score_exponent=0.5,"{""score_exponent"": 0.5}"
2504,harvest_proportional,True,True,ok,101,131,True,True,1579,1579,12545,20762,0.6042288796840382,0.38849821789808303,45.35279999999978,0.9156028647310533,0.03532079140372176,5.226082319013044,0.003989738702832448,0.0,53.34431825136284,235.17031262611553,8066,135,0,4,True,True,harvest_proportional:score_exponent=0.5,"{""score_exponent"": 0.5}"
2500,energy_proportional,True,True,ok,124,147,True,True,1602,1602,12421,20035,0.6199650611429998,0.3673571250311954,44.55959999999996,0.9685745720457866,0.018471480378667318,7.2895481688346,0.003891834517780163,0.0,53.222123593684174,233.3803907342395,7360,246,0,2,True,True,energy_proportional:score_exponent=1.0,"{""score_exponent"": 1.0}"
2501,energy_proportional,True,True,ok,120,130,True,True,1564,1564,12300,19349,0.6356917670163833,0.35226626699054214,45.16799999999988,0.9542365098747616,0.02966683824194996,5.719062005466325,0.0039711945538631775,0.0,53.10552499499849,231.6143188709352,6816,227,0,3,True,True,energy_proportional:score_exponent=1.0,"{""score_exponent"": 1.0}"
2502,energy_proportional,True,True,ok,121,137,True,True,1617,1617,12367,19960,0.6195891783567135,0.36773547094188375,45.21119999999984,0.9291378622185799,0.038992735318154725,4.964453926119313,0.004867361794603047,0.0,53.151743389422435,232.67345925780336,7340,237,0,4,True,True,energy_proportional:score_exponent=1.0,"{""score_exponent"": 1.0}"
2503,energy_proportional,True,True,ok,132,140,True,True,1603,1603,12829,24011,0.5342967806422056,0.4573737037191287,45.531599999999536,0.8688446357106168,0.047037040361087926,4.501093313549233,0.007252294473431925,0.0,53.517740839883594,239.7149019870306,10982,176,0,6,True,True,energy_proportional:score_exponent=1.0,"{""score_exponent"": 1.0}"
2504,energy_proportional,True,True,ok,118,127,True,True,1579,1579,11982,18316,0.6541821358375192,0.33522603188469097,45.27599999999989,0.960140842809794,0.029979417363982058,5.688252686918308,0.004599100389332259,0.0,52.8331123852846,226.78959196311325,6140,182,0,3,True,True,energy_proportional:score_exponent=1.0,"{""score_exponent"": 1.0}"
2500,harvest_proportional,True,True,ok,117,171,True,True,1602,1602,13938,25286,0.5512141105750218,0.4408368267025231,44.491199999999765,0.9127592444504167,0.04530832763482401,4.590315654716416,0.005896736986556319,0.0,53.920571971774564,258.4913232614823,11147,181,0,5,True,True,harvest_proportional:score_exponent=1.0,"{""score_exponent"": 1.0}"
2501,harvest_proportional,True,True,ok,117,148,True,True,1564,1564,13555,23780,0.5700168208578638,0.422161480235492,44.82239999999985,0.9414405055365433,0.03840766352914678,5.003645724903198,0.0056749063533405855,0.0,53.71282934057982,252.36056574214481,10039,170,0,4,True,True,harvest_proportional:score_exponent=1.0,"{""score_exponent"": 1.0}"
2502,harvest_proportional,True,True,ok,112,166,True,True,1617,1617,13696,24843,0.551302177675804,0.44104979269814437,45.01079999999974,0.9138166154661584,0.04209928226225355,4.7700496934752,0.006007216112437035,0.0,53.85108811692431,254.33097972435627,10957,170,0,5,True,True,harvest_proportional:score_exponent=1.0,"{""score_exponent"": 1.0}"
