seed,policy,literature_baseline,idle_enabled,status,t_fnd,t_hnd,rounds,throughput,idle_energy_j,queue_fairness,energy_consumed_j,energy_efficiency_packets_per_j,dropped_stale_packets,dropped_overflow_packets,alive_at_end,right_censored,schedule_exhausted
3100,static_equal,True,True,ok,142,164,1730,13000,44.76519999999974,0.9354868350985804,54.4832414674816,238.60548032479068,17210,0,8,True,True
3100,energy_proportional,True,True,ok,114,150,1730,12399,44.744399999999914,0.9651344255626099,53.228726665679794,232.93812902713086,8355,0,3,True,True
3100,harvest_proportional,True,True,ok,110,165,1730,14537,44.9291999999997,0.865470910548149,54.65655222233013,265.9699415518723,14572,0,7,True,True
3100,s2a2mac_adapted,True,True,ok,201,371,1730,22790,45.86000000000007,0.8402641881835242,59.21646070760328,384.85920515465403,40318,0,13,True,True
3100,ffss_adapted,True,True,ok,156,165,1730,12738,44.97759999999973,0.9371542865327924,54.5332085986657,233.58244136604256,16233,0,7,True,True
3100,hta_mac,True,True,ok,,,1730,22329,18.036000000000097,0.7892459091597684,37.198008003618106,600.2740791342414,150371,0,100,True,True
3100,random_budgeted_diagnostic,False,True,ok,109,195,1730,15377,44.13479999999977,0.9291466859685378,54.31299927509262,283.1182259354941,12611,0,5,True,True
3101,static_equal,True,True,ok,132,161,1633,12948,45.136799999999766,0.9338207339081612,54.37892447231452,238.1069527513753,15801,0,7,True,True
3101,energy_proportional,True,True,ok,128,139,1633,12322,44.88359999999988,0.963517615747116,53.06695061304012,232.1972500332838,7588,0,4,True,True
3101,harvest_proportional,True,True,ok,120,161,1633,13781,44.68919999999976,0.9252958773469675,53.89182518096277,255.71596348286462,11334,0,5,True,True
3101,s2a2mac_adapted,True,True,ok,195,335,1633,22309,46.08180000000008,0.8484525338342648,59.21915689164824,376.71931130019635,40461,0,16,True,True
3101,ffss_adapted,True,True,ok,138,160,1633,12591,45.27679999999975,0.95370927659042,54.227470092070874,232.18859332036314,16116,0,8,True,True
3101,hta_mac,True,True,ok,,,1633,21338,17.05700000000002,0.7429059123407064,36.29125418182115,587.965350910593,141662,0,100,True,True
3101,random_budgeted_diagnostic,False,True,ok,124,193,1633,15472,44.20079999999976,0.9331046945480003,54.325404979288365,284.8022947256209,11150,0,5,True,True
3102,static_equal,True,True,ok,118,159,1655,13247,44.86519999999976,0.9062253068424828,55.075212677034415,240.52562588693937,18907,0,8,True,True
3102,energy_proportional,True,True,ok,118,141,1655,12320,44.86439999999988,0.9569475004886168,53.171334116145495,231.7037968821442,7420,0,3,True,True
3102,harvest_proportional,True,True,ok,111,164,1655,14066,44.60039999999968,0.8866760240459551,54.119640993768385,259.9056413108807,10222,0,2,True,True
3102,s2a2mac_adapted,True,True,ok,207,354,1655,22997,46.423800000000035,0.8273571697314768,60.11987838037477,382.5190705559881,39347,0,8,True,True
3102,ffss_adapted,True,True,ok,136,153,1655,12105,44.547599999999825,0.9598942505664797,53.68328668341127,225.48917452441637,9492,0,4,True,True
3102,hta_mac,True,True,ok,,,1655,21374,16.86900000000008,0.7803919999754018,36.0889997130395,592.258033471547,143826,0,100,True,True
3102,random_budgeted_diagnostic,False,True,ok,117,183,1655,15332,43.91999999999978,0.9350825848940569,54.08902691056142,283.45860289467095,10671,0,5,True,True
3103,static_equal,True,True,ok,136,164,1648,13554,45.375999999999756,0.8883429254484245,55.40324387532779,244.64271497351578,20446,0,9,True,True
3103,energy_proportional,True,True,ok,126,144,1648,12303,44.632799999999904,0.9535683195986243,53.118889755982735,231.6125215816342,7985,0,4,True,True
3103,harvest_proportional,True,True,ok,119,174,1648,13945,44.66759999999974,0.9106312412929207,54.00290997820763,258.22682528825527,11985,0,5,True,True
3103,s2a2mac_adapted,True,True,ok,201,358,1648,22637,46.03240000000007,0.8397154807341094,59.33540059219789,381.50917958033597,39389,0,13,True,True
3103,ffss_adapted,True,True,ok,150,157,1648,12625,44.956799999999745,0.9342106188600905,54.48666226402805,231.70808185721796,16792,0,6,True,True
3103,hta_mac,True,True,ok,,,1648,21165,16.169800000000052,0.7940742665057804,34.98343621884967,605.0006027880114,143335,0,100,True,True
3103,random_budgeted_diagnostic,False,True,ok,120,194,1648,15588,43.83719999999982,0.9489688204445652,54.0868442180532,288.203170759166,12094,0,5,True,True
3104,static_equal,True,True,ok,132,163,1640,13256,45.647999999999726,0.9221487788929903,54.850936654545805,241.67317476248422,17973,0,8,True,True
3104,energy_proportional,True,True,ok,128,137,1640,12177,45.27359999999997,0.9797069257030195,53.013293101228356,229.69710590791144,7263,0,3,True,True
3104,harvest_proportional,True,True,ok,122,158,1640,13840,45.17519999999974,0.8861574902962254,54.16299269450904,255.52502384904363,11948,0,6,True,True
3104,s2a2mac_adapted,True,True,ok,196,314,1640,22024,45.71339999999993,0.8601980743032233,58.94998569897319,373.60484042294894,38270,0,14,True,True
3104,ffss_adapted,True,True,ok,149,157,1640,12405,45.349199999999804,0.9636210929060982,53.80321789646049,230.5624177325661,14612,0,7,True,True
3104,hta_mac,True,True,ok,,,1640,21775,18.184800000000063,0.7677022200108772,37.94529479983061,573.8524398049268,141925,0,100,True,True
3104,random_budgeted_diagnostic,False,True,ok,129,180,1640,15236,44.389199999999775,0.9378454606937131,54.08579252943083,281.700596172448,10897,0,5,True,True
