seed,policy,literature_baseline,idle_enabled,status,t_fnd,t_hnd,rounds,throughput,idle_energy_j,queue_fairness,energy_consumed_j,energy_efficiency_packets_per_j,dropped_stale_packets,dropped_overflow_packets,alive_at_end,right_censored,schedule_exhausted
3100,static_equal,True,True,ok,142,173,1730,60022,209.25279999999978,0.9993290218740918,245.38458062065433,244.6037964088273,13556,0,98,True,True
3100,energy_proportional,True,True,ok,114,160,1730,71915,210.03480000000025,0.9990080024103988,251.7808718384631,285.62535142121135,14271,0,95,True,True
3100,harvest_proportional,True,True,ok,110,176,1730,67184,242.45640000000003,0.9986155714997922,281.81999581514077,238.3933042283813,17873,0,100,True,True
3100,s2a2mac_adapted,True,True,ok,201,768,1730,59048,150.32779999999934,0.9512079653108423,183.0993773660025,322.4915390180016,60082,0,75,True,True
3100,ffss_adapted,True,True,ok,156,167,1730,60049,209.92719999999926,0.9994174312233011,245.91524273199292,244.18575820224171,11185,0,96,True,True
3100,hta_mac,True,True,ok,133,,1730,22353,51.833000000000034,0.9311793813725959,69.48949587359338,321.674516687555,147312,0,100,True,True
3100,random_budgeted_diagnostic,False,True,ok,109,216,1730,68599,216.72240000000053,0.9987632996145702,256.92758411868454,266.99741187895006,18301,0,94,True,True
3101,static_equal,True,True,ok,132,168,1633,58413,205.00439999999963,0.999224496941439,240.88365221950897,242.4946627211142,10693,0,100,True,True
3101,energy_proportional,True,True,ok,128,144,1633,69514,203.0004000000006,0.9988713947415856,244.24260772756884,284.61045616388424,12642,0,100,True,True
3101,harvest_proportional,True,True,ok,120,164,1633,64718,234.9120000000001,0.9987416648118989,273.7535990549047,236.40967725512894,14706,0,100,True,True
3101,s2a2mac_adapted,True,True,ok,195,766,1633,56984,145.72359999999986,0.9484548345028848,178.00368907008138,320.1281967676803,54305,0,100,True,True
3101,ffss_adapted,True,True,ok,138,158,1633,58711,206.29159999999908,0.9991774702041623,242.21643618807306,242.39065244281295,9354,0,100,True,True
3101,hta_mac,True,True,ok,176,,1633,20855,50.3787999999999,0.9242338002339638,66.66856186686628,312.8161072627661,139232,0,100,True,True
3101,random_budgeted_diagnostic,False,True,ok,124,199,1633,66801,208.1076000000003,0.9988742678156146,248.0567810656675,269.29721377911426,15510,0,100,True,True
3102,static_equal,True,True,ok,118,171,1655,58484,204.59839999999951,0.9992666007301553,240.58050682095075,243.09533957182174,10712,0,76,True,True
3102,energy_proportional,True,True,ok,118,139,1655,69972,204.1296,0.9988585096199749,245.52860448973823,284.9851248306364,12219,0,73,True,True
3102,harvest_proportional,True,True,ok,111,184,1655,65474,236.05200000000025,0.9985791746373037,275.24534632215335,237.87504811568277,14859,0,75,True,True
3102,s2a2mac_adapted,True,True,ok,207,816,1655,56808,144.2971999999995,0.9547568109599488,176.5174021448276,321.8266262121319,56973,0,99,True,True
3102,ffss_adapted,True,True,ok,136,153,1655,58490,204.49279999999922,0.9993034833776286,240.317365704869,243.38648948004408,9411,0,74,True,True
3102,hta_mac,True,True,ok,131,,1655,21066,49.8827999999999,0.9343824661936814,66.99568484357381,314.4381619381362,141724,0,100,True,True
3102,random_budgeted_diagnostic,False,True,ok,117,206,1655,66650,209.44200000000018,0.9988527260253175,249.30975905534623,267.33811084067446,16147,0,76,True,True
3103,static_equal,True,True,ok,136,174,1648,58476,202.98839999999933,0.9993533468831108,238.37034811657193,245.31574695441176,11457,0,72,True,True
3103,energy_proportional,True,True,ok,126,144,1648,69945,204.37200000000036,0.9988747888573395,245.1570156431489,285.30694835106044,12299,0,95,True,True
3103,harvest_proportional,True,True,ok,119,207,1648,65138,233.89440000000033,0.9984929139500244,272.2598383727683,239.24938907373996,15908,0,99,True,True
3103,s2a2mac_adapted,True,True,ok,201,940,1648,57970,148.5619999999994,0.9460774137351963,180.88993721935594,320.47111570226684,55008,0,74,True,True
3103,ffss_adapted,True,True,ok,150,157,1648,58767,205.21239999999946,0.9993717072637154,240.52407504523202,244.32897201225492,9509,0,95,True,True
3103,hta_mac,True,True,ok,149,,1648,21034,50.52239999999985,0.9164042451741778,67.02212420487555,313.8366658702511,140741,0,100,True,True
3103,random_budgeted_diagnostic,False,True,ok,120,216,1648,67107,209.2164000000009,0.9986870488723685,248.63576342245102,269.9008343621916,16230,0,94,True,True
3104,static_equal,True,True,ok,132,171,1640,58574,206.08599999999936,0.9991236483243013,242.46522779780838,241.5769078807656,9733,0,73,True,True
3104,energy_proportional,True,True,ok,128,160,1640,70194,206.09760000000006,0.9987292174043122,248.14266769203954,282.87759075402187,10959,0,75,True,True
3104,harvest_proportional,True,True,ok,122,177,1640,65015,237.28440000000018,0.9984951117218636,276.646855401418,235.01080431824332,13970,0,75,True,True
3104,s2a2mac_adapted,True,True,ok,196,872,1640,56940,145.99359999999965,0.9517363674167509,178.78192896791242,318.48856497246726,54885,0,72,True,True
3104,ffss_adapted,True,True,ok,149,156,1640,58836,207.2923999999993,0.999263470770848,243.64613831100283,241.4813565602202,8197,0,75,True,True
3104,hta_mac,True,True,ok,141,,1640,21495,52.61619999999987,0.919236520527761,69.4135370834257,309.6658217282014,137948,0,100,True,True
3104,random_budgeted_diagnostic,False,True,ok,129,194,1640,67141,212.12280000000052,0.9985054871560569,252.83352595837854,265.55418133532163,14250,0,76,True,True
