comparator,metric,direction,mean_hta_minus_comparator,ci_low,ci_high,wilcoxon_p,holm_p,holm_significant,paired_dz_favorable,rank_biserial_favorable,wins,ties,losses
energy_proportional_tuned,delivery_ratio,higher,-0.005764370117802628,-0.009651626699195216,-0.0021375591421658683,0.01923370361328125,0.01923370361328125,True,-0.6495679667087663,-0.5904761904761905,7,0,13
energy_proportional_tuned,stale_ratio,lower,-0.0046855183990261685,-0.005975554504048035,-0.003328436417315867,2.6702880859375e-05,0.000133514404296875,True,1.5062222292883298,0.9428571428571428,18,0,2
energy_proportional_tuned,episode_service_fairness,higher,0.05044901204941772,0.03777137925901046,0.06321219493533374,5.7220458984375e-06,4.00543212890625e-05,True,1.6915514879078974,0.9809523809523809,19,0,1
energy_proportional_tuned,fnd_free_steps,higher,-7.330000000000001,-8.359999999999998,-6.240000000000003,8.832385863081277e-05,0.0003532954345232511,True,-2.9550838231265075,-1.0,0,0,20
energy_proportional_tuned,global_packets_per_j,higher,-0.6654000135119134,-0.8687393455182709,-0.4546902184479694,1.9073486328125e-05,0.00011444091796875,True,-1.3917934445031823,-0.9523809523809523,2,0,18
s2a2mac_adapted,delivery_ratio,higher,0.14316231513663555,0.14008571891496616,0.14594207827483188,1.9073486328125e-06,2.86102294921875e-05,True,20.882299767455905,1.0,20,0,0
s2a2mac_adapted,stale_ratio,lower,-0.0989776530679848,-0.10076435204464296,-0.09714949515286017,1.9073486328125e-06,2.86102294921875e-05,True,23.438709071095182,1.0,20,0,0
s2a2mac_adapted,episode_service_fairness,higher,0.1892711220506377,0.17897539248718827,0.19943344637071053,1.9073486328125e-06,2.86102294921875e-05,True,7.856998351238716,1.0,20,0,0
s2a2mac_adapted,fnd_free_steps,higher,-15.430000000000001,-16.79,-14.1,8.844915021211901e-05,0.0003532954345232511,True,-4.912313818112092,-1.0,0,0,20
s2a2mac_adapted,global_packets_per_j,higher,-6.985567909018586,-7.2771916094015285,-6.665491711882979,1.9073486328125e-06,2.86102294921875e-05,True,-9.741173959229418,-1.0,0,0,20
ffss_adapted,delivery_ratio,higher,0.07081754561865199,0.06787378180190425,0.07360340560938218,1.9073486328125e-06,2.86102294921875e-05,True,10.573086991609472,1.0,20,0,0
ffss_adapted,stale_ratio,lower,0.010507238854415159,0.009685584367321448,0.011443368269123594,1.9073486328125e-06,2.86102294921875e-05,True,-5.09968838624004,-1.0,0,0,20
ffss_adapted,episode_service_fairness,higher,-0.10118557633918848,-0.11213071770055692,-0.08967866491493802,1.9073486328125e-06,2.86102294921875e-05,True,-3.800526439100876,-1.0,0,0,20
ffss_adapted,fnd_free_steps,higher,-8.889999999999997,-9.960249999999998,-7.729750000000016,8.832385863081277e-05,0.0003532954345232511,True,-3.397112049857193,-1.0,0,0,20
ffss_adapted,global_packets_per_j,higher,4.438252251431844,4.203767464662911,4.674558150391641,1.9073486328125e-06,2.86102294921875e-05,True,7.962832765340259,1.0,20,0,0
