study,seed,policy,delivered,generated,energy_uj,delivery_pp,packets_per_j
fixed,9700100,block,128,960,2675004,13.333333333333334,47.850395737726004
fixed,9700100,prefix,128,960,2791056,13.333333333333334,45.86077814275314
fixed,9700100,selective,88,960,2790768,9.166666666666666,31.53253871335776
fixed,9700100,whole,112,960,2643936,11.666666666666666,42.36108589617903
fixed,9700101,block,120,768,2665760,15.625,45.01530520376929
fixed,9700101,prefix,120,768,2783392,15.625,43.112863728860326
fixed,9700101,selective,88,768,2792224,11.458333333333334,31.516096129823396
fixed,9700101,whole,80,768,2643936,10.416666666666666,30.257918497270737
fixed,9700102,block,112,576,2672624,19.444444444444443,41.90638114452314
fixed,9700102,prefix,112,576,2791216,19.444444444444443,40.125880619772886
fixed,9700102,selective,80,576,2792452,13.88888888888889,28.648657165816996
fixed,9700102,whole,96,576,2643936,16.666666666666668,36.309502196724885
fixed,9700103,block,136,1152,2711104,11.805555555555555,50.16406600410755
fixed,9700103,prefix,136,1152,2787472,11.805555555555555,48.78972775331914
fixed,9700103,selective,96,1152,2779784,8.333333333333334,34.53505740014332
fixed,9700103,whole,88,1152,2643936,7.638888888888889,33.28371034699781
fixed,9700104,block,93,480,2644220,19.375,35.171052333013144
fixed,9700104,prefix,93,480,2776902,19.375,33.49055890341107
fixed,9700104,selective,84,480,2780250,17.5,30.213110331804696
fixed,9700104,whole,68,480,2622376,14.166666666666666,25.930682709115704
fixed,9700105,block,112,960,2662704,11.666666666666666,42.062504882255034
fixed,9700105,prefix,112,960,2784048,11.666666666666666,40.22919145072212
fixed,9700105,selective,80,960,2792720,8.333333333333334,28.645907932051905
fixed,9700105,whole,112,960,2643936,11.666666666666666,42.36108589617903
fixed,9700106,block,108,1152,2652776,9.375,40.71206916829767
fixed,9700106,prefix,108,1152,2790304,9.375,38.70546005023109
fixed,9700106,selective,72,1152,2795328,6.25,25.757263548320626
fixed,9700106,whole,104,1152,2643936,9.027777777777779,39.335294046451956
fixed,9700107,block,144,1152,2672192,12.5,53.88834335257347
fixed,9700107,prefix,144,1152,2785072,12.5,51.70422883142698
fixed,9700107,selective,96,1152,2781424,8.333333333333334,34.51469463123925
fixed,9700107,whole,112,1152,2643936,9.722222222222221,42.36108589617903
fixed,9700108,block,120,864,2665124,13.88888888888889,45.026047568518386
fixed,9700108,prefix,120,864,2784748,13.88888888888889,43.091870431363986
fixed,9700108,selective,94,864,2779624,10.87962962962963,33.81752352116689
fixed,9700108,whole,92,864,2643936,10.648148148148149,34.79660627186134
fixed,9700109,block,136,1056,2678728,12.878787878787879,50.770365636227346
fixed,9700109,prefix,136,1056,2783176,12.878787878787879,48.86503764045105
fixed,9700109,selective,96,1056,2794800,9.090909090909092,34.349506225848
fixed,9700109,whole,96,1056,2643936,9.090909090909092,36.309502196724885
fixed,9700110,block,144,1056,2643936,13.636363636363637,54.464253295087325
fixed,9700110,prefix,144,1056,2783328,13.636363636363637,51.73662608215776
fixed,9700110,selective,96,1056,2787144,9.090909090909092,34.44386081235846
fixed,9700110,whole,144,1056,2643936,13.636363636363637,54.464253295087325
fixed,9700111,block,120,1056,2685608,11.363636363636363,44.68261935472341
fixed,9700111,prefix,120,1056,2786344,11.363636363636363,43.06718768393279
fixed,9700111,selective,96,1056,2782016,9.090909090909092,34.50735006556396
fixed,9700111,whole,80,1056,2643936,7.575757575757576,30.257918497270737
fixed,9700112,block,108,960,2666960,11.25,40.4955454899961
fixed,9700112,prefix,108,960,2787884,11.25,38.7390580095872
fixed,9700112,selective,76,960,2781964,7.916666666666667,27.318829431293864
fixed,9700112,whole,72,960,2635312,7.5,27.32124317727844
fixed,9700113,block,112,960,2677792,11.666666666666666,41.825503997323175
fixed,9700113,prefix,112,960,2786080,11.666666666666666,40.19985068626888
fixed,9700113,selective,88,960,2779648,9.166666666666666,31.658684840670475
fixed,9700113,whole,80,960,2643936,8.333333333333334,30.257918497270737
fixed,9700114,block,120,1152,2658160,10.416666666666666,45.14400938995395
fixed,9700114,prefix,120,1152,2785640,10.416666666666666,43.07807182550509
fixed,9700114,selective,80,1152,2776416,6.944444444444445,28.81412583705036
fixed,9700114,whole,96,1152,2643936,8.333333333333334,36.309502196724885
fixed,9700115,block,112,960,2631942,11.666666666666666,42.55412923233111
fixed,9700115,prefix,112,960,2780402,11.666666666666666,40.281944841069745
fixed,9700115,selective,84,960,2774880,8.75,30.271579311537796
fixed,9700115,whole,96,960,2618064,10.0,36.66831674092001
fixed,9700116,block,112,768,2651952,14.583333333333334,42.23304192534405
fixed,9700116,prefix,112,768,2788000,14.583333333333334,40.17216642754663
fixed,9700116,selective,96,768,2776052,12.5,34.58148478486714
fixed,9700116,whole,112,768,2626688,14.583333333333334,42.639247600019495
fixed,9700117,block,136,864,2706512,15.74074074074074,50.24917680025065
fixed,9700117,prefix,136,864,2786224,15.74074074074074,48.8115815526677
fixed,9700117,selective,96,864,2791120,11.11111111111111,34.394794921035285
fixed,9700117,whole,80,864,2643936,9.25925925925926,30.257918497270737
fixed,9700118,block,124,1056,2665976,11.742424242424242,46.51204662007461
fixed,9700118,prefix,124,1056,2783344,11.742424242424242,44.55072747026598
fixed,9700118,selective,76,1056,2790128,7.196969696969697,27.238893699500526
fixed,9700118,whole,80,1056,2643936,7.575757575757576,30.257918497270737
fixed,9700119,block,128,672,2672832,19.047619047619047,47.889279984675426
fixed,9700119,prefix,128,672,2781504,19.047619047619047,46.0182692528934
fixed,9700119,selective,96,672,2787024,14.285714285714286,34.445343850644996
fixed,9700119,whole,128,672,2643936,19.047619047619047,48.412669595633176
fixed,9700120,block,96,480,2640048,20.0,36.36297521863239
fixed,9700120,prefix,96,480,2770276,20.0,34.65358686282522
fixed,9700120,selective,84,480,2774860,17.5,30.271797496089896
fixed,9700120,whole,64,480,2618064,13.333333333333334,24.445544493946674
fixed,9700121,block,116,672,2705752,17.261904761904763,42.871630511591604
fixed,9700121,prefix,112,672,2784544,16.666666666666668,40.22202558120827
fixed,9700121,selective,82,672,2781328,12.202380952380953,29.482319237429028
fixed,9700121,whole,96,672,2643936,14.285714285714286,36.309502196724885
fixed,9700122,block,136,864,2672880,15.74074074074074,50.881446230283444
fixed,9700122,prefix,136,864,2785056,15.74074074074074,48.83205221008124
fixed,9700122,selective,96,864,2788288,11.11111111111111,34.42972892326762
fixed,9700122,whole,112,864,2643936,12.962962962962964,42.36108589617903
fixed,9700123,block,70,384,2558466,18.229166666666668,27.360144711713975
fixed,9700123,prefix,70,384,2742380,18.229166666666668,25.525273667398395
fixed,9700123,selective,52,384,2745072,13.541666666666666,18.943036831092225
fixed,9700123,whole,50,384,2582116,13.020833333333334,19.363963508998047
fixed,9700124,block,136,576,2698988,23.61111111111111,50.38925701040538
fixed,9700124,prefix,136,576,2788724,23.61111111111111,48.76782356375174
fixed,9700124,selective,96,576,2795568,16.666666666666668,34.34006971034152
fixed,9700124,whole,112,576,2643936,19.444444444444443,42.36108589617903
fixed,9700125,block,114,672,2678816,16.964285714285715,42.55611434305305
fixed,9700125,prefix,116,672,2780304,17.261904761904763,41.72205629312479
fixed,9700125,selective,96,672,2775536,14.285714285714286,34.587913829977346
fixed,9700125,whole,72,672,2618064,10.714285714285714,27.501237555690007
fixed,9700126,block,120,960,2660448,12.5,45.10518529210118
fixed,9700126,prefix,120,960,2782160,12.5,43.131955027748226
fixed,9700126,selective,96,960,2792224,10.0,34.381195777989156
fixed,9700126,whole,96,960,2643936,10.0,36.309502196724885
fixed,9700127,block,120,768,2640064,15.625,45.45344355288357
fixed,9700127,prefix,120,768,2784112,15.625,43.10171429885005
fixed,9700127,selective,84,768,2792824,10.9375,30.077083267688906
fixed,9700127,whole,80,768,2643936,10.416666666666666,30.257918497270737
fixed,9700128,block,120,960,2650464,12.5,45.275091455684745
fixed,9700128,prefix,120,960,2785560,12.5,43.079309007883516
fixed,9700128,selective,80,960,2778328,8.333333333333334,28.79429642576399
fixed,9700128,whole,96,960,2643936,10.0,36.309502196724885
fixed,9700129,block,112,288,2672584,38.888888888888886,41.90700834847473
fixed,9700129,prefix,112,288,2730280,38.888888888888886,41.02143369910778
fixed,9700129,selective,72,288,2751936,25.0,26.163399148817415
fixed,9700129,whole,96,288,2618064,33.333333333333336,36.66831674092001
fixed,9700130,block,112,1056,2682800,10.606060606060606,41.74742806023558
fixed,9700130,prefix,112,1056,2791544,10.606060606060606,40.12116592108167
fixed,9700130,selective,80,1056,2792352,7.575757575757576,28.649683134504535
fixed,9700130,whole,100,1056,2643936,9.469696969696969,37.82239812158842
fixed,9700131,block,116,960,2680352,12.083333333333334,43.27789782834493
fixed,9700131,prefix,116,960,2784352,12.083333333333334,41.6613991334429
fixed,9700131,selective,88,960,2789656,9.166666666666666,31.545108070672516
fixed,9700131,whole,72,960,2643936,7.5,27.232126647543662
fixed,9700132,block,136,960,2680160,14.166666666666666,50.74323920959943
fixed,9700132,prefix,136,960,2785136,14.166666666666666,48.83064956253482
fixed,9700132,selective,96,960,2780656,10.0,34.524227376561505
fixed,9700132,whole,96,960,2643936,10.0,36.309502196724885
fixed,9700133,block,80,576,2656600,13.88888888888889,30.113679138748775
fixed,9700133,prefix,80,576,2786976,13.88888888888889,28.704947584765712
fixed,9700133,selective,56,576,2787872,9.722222222222221,20.08700542923061
fixed,9700133,whole,44,576,2626688,7.638888888888889,16.751132985721945
fixed,9700134,block,101,480,2667506,21.041666666666668,37.8630825947533
fixed,9700134,prefix,101,480,2768990,21.041666666666668,36.47539355505076
fixed,9700134,selective,76,480,2772780,15.833333333333334,27.409314839258794
fixed,9700134,whole,72,480,2635312,15.0,27.32124317727844
fixed,9700135,block,80,960,2650592,8.333333333333334,30.181936714515096
fixed,9700135,prefix,80,960,2783552,8.333333333333334,28.740257052859082
fixed,9700135,selective,52,960,2780636,5.416666666666667,18.700757668389535
fixed,9700135,whole,64,960,2643936,6.666666666666667,24.206334797816588
fixed,9700136,block,104,384,2646100,27.083333333333332,39.303125354295005
fixed,9700136,prefix,104,384,2777100,27.083333333333332,37.449137589571855
fixed,9700136,selective,84,384,2782722,21.875,30.186270852783718
fixed,9700136,whole,88,384,2635312,22.916666666666668,33.392630550006984
fixed,9700137,block,112,1248,2664888,8.974358974358974,42.028032697809444
fixed,9700137,prefix,112,1248,2784056,8.974358974358974,40.22907585192252
fixed,9700137,selective,72,1248,2786264,5.769230769230769,25.841054544723686
fixed,9700137,whole,96,1248,2643936,7.6923076923076925,36.309502196724885
fixed,9700138,block,120,384,2699896,31.25,44.446156444544535
fixed,9700138,prefix,116,384,2788556,30.208333333333332,41.5985908118754
fixed,9700138,selective,80,384,2790924,20.833333333333332,28.664341988531397
fixed,9700138,whole,80,384,2643936,20.833333333333332,30.257918497270737
fixed,9700139,block,112,576,2642784,19.444444444444443,42.37955126109436
fixed,9700139,prefix,112,576,2792392,19.444444444444443,40.10898183349616
fixed,9700139,selective,88,576,2782440,15.277777777777779,31.626917381866278
fixed,9700139,whole,96,576,2618064,16.666666666666668,36.66831674092001
fixed,9700140,block,116,672,2698408,17.261904761904763,42.988310144351786
fixed,9700140,prefix,116,672,2772520,17.261904761904763,41.83919322493616
fixed,9700140,selective,88,672,2786960,13.095238095238095,31.57562361856647
fixed,9700140,whole,76,672,2618064,11.30952380952381,29.029084086561674
fixed,9700141,block,100,768,2651040,13.020833333333334,37.72104532560806
fixed,9700141,prefix,98,768,2787128,12.760416666666666,35.161643096406046
fixed,9700141,selective,88,768,2779136,11.458333333333334,31.664517317612383
fixed,9700141,whole,72,768,2635312,9.375,27.32124317727844
fixed,9700142,block,100,960,2643448,10.416666666666666,37.82938041527581
fixed,9700142,prefix,100,960,2784480,10.416666666666666,35.91334827328622
fixed,9700142,selective,68,960,2776564,7.083333333333333,24.49070145690861
fixed,9700142,whole,68,960,2639624,7.083333333333333,25.76124478334793
fixed,9700143,block,112,576,2648088,19.444444444444443,42.29466694460305
fixed,9700143,prefix,112,576,2770648,19.444444444444443,40.42375646419177
fixed,9700143,selective,88,576,2768336,15.277777777777779,31.78804884956162
fixed,9700143,whole,88,576,2635312,15.277777777777779,33.392630550006984
fixed,9700144,block,136,1056,2670288,12.878787878787879,50.930835924814104
fixed,9700144,prefix,136,1056,2782928,12.878787878787879,48.869392237240774
fixed,9700144,selective,96,1056,2786944,9.090909090909092,34.44633261378772
fixed,9700144,whole,112,1056,2643936,10.606060606060606,42.36108589617903
fixed,9700145,block,112,864,2680744,12.962962962962964,41.77944630296664
fixed,9700145,prefix,112,864,2784864,12.962962962962964,40.217403794224786
fixed,9700145,selective,92,864,2788880,10.648148148148149,32.98815295028829
fixed,9700145,whole,80,864,2643936,9.25925925925926,30.257918497270737
fixed,9700146,block,128,768,2695744,16.666666666666668,47.48225350775148
fixed,9700146,prefix,128,768,2790880,16.666666666666668,45.86367024021097
fixed,9700146,selective,88,768,2791520,11.458333333333334,31.52404424829484
fixed,9700146,whole,88,768,2643936,11.458333333333334,33.28371034699781
fixed,9700147,block,128,960,2677248,13.333333333333334,47.8102887741442
fixed,9700147,prefix,128,960,2785460,13.333333333333334,45.95291262484473
fixed,9700147,selective,96,960,2792804,10.0,34.37405560862846
fixed,9700147,whole,88,960,2643936,9.166666666666666,33.28371034699781
fixed,9700148,block,102,576,2662180,17.708333333333332,38.314464085824405
fixed,9700148,prefix,102,576,2774536,17.708333333333332,36.76290377922651
fixed,9700148,selective,80,576,2774446,13.88888888888889,28.834585355058273
fixed,9700148,whole,64,576,2618064,11.11111111111111,24.445544493946674
fixed,9700149,block,124,672,2676968,18.452380952380953,46.321061738504156
fixed,9700149,prefix,124,672,2789568,18.452380952380953,44.45132723059628
fixed,9700149,selective,96,672,2792344,14.285714285714286,34.379718258208875
fixed,9700149,whole,96,672,2643936,14.285714285714286,36.309502196724885
fixed,9700150,block,124,576,2655944,21.52777777777778,46.68773136783005
fixed,9700150,prefix,124,576,2787220,21.52777777777778,44.48877376023421
fixed,9700150,selective,80,576,2792080,13.88888888888889,28.65247414114209
fixed,9700150,whole,104,576,2643936,18.055555555555557,39.335294046451956
fixed,9700151,block,120,576,2675700,20.833333333333332,44.84807713869268
fixed,9700151,prefix,120,576,2787712,20.833333333333332,43.04605353781165
fixed,9700151,selective,96,576,2792592,16.666666666666668,34.37666511971673
fixed,9700151,whole,112,576,2643936,19.444444444444443,42.36108589617903
fixed,9700152,block,110,576,2669204,19.09722222222222,41.21078793527958
fixed,9700152,prefix,114,576,2784836,19.791666666666668,40.93598330386421
fixed,9700152,selective,96,576,2791104,16.666666666666668,34.39499208915182
fixed,9700152,whole,80,576,2643936,13.88888888888889,30.257918497270737
fixed,9700153,block,136,1152,2671296,11.805555555555555,50.91161743213781
fixed,9700153,prefix,136,1152,2784192,11.805555555555555,48.84720593982024
fixed,9700153,selective,96,1152,2779680,8.333333333333334,34.53634950785702
fixed,9700153,whole,112,1152,2643936,9.722222222222221,42.36108589617903
fixed,9700154,block,112,960,2615008,11.666666666666666,42.829696888116594
fixed,9700154,prefix,112,960,2791104,11.666666666666666,40.12749077067713
fixed,9700154,selective,88,960,2792560,9.166666666666666,31.512304122382332
fixed,9700154,whole,80,960,2626688,8.333333333333334,30.456605428585355
fixed,9700155,block,120,480,2643984,25.0,45.38605377339652
fixed,9700155,prefix,120,480,2790000,25.0,43.01075268817204
fixed,9700155,selective,96,480,2775056,20.0,34.59389648353043
fixed,9700155,whole,88,480,2626688,18.333333333333332,33.50226597144389
fixed,9700156,block,128,672,2674244,19.047619047619047,47.86399445974264
fixed,9700156,prefix,128,672,2785724,19.047619047619047,45.94855771785001
fixed,9700156,selective,96,672,2789984,14.285714285714286,34.408799476986246
fixed,9700156,whole,112,672,2643936,16.666666666666668,42.36108589617903
fixed,9700157,block,112,864,2678288,12.962962962962964,41.81775820972204
fixed,9700157,prefix,112,864,2784740,12.962962962962964,40.21919461062792
fixed,9700157,selective,82,864,2782796,9.49074074074074,29.46676651827874
fixed,9700157,whole,80,864,2643936,9.25925925925926,30.257918497270737
fixed,9700158,block,112,1056,2655952,10.606060606060606,42.16943679705055
fixed,9700158,prefix,112,1056,2784064,10.606060606060606,40.22896025378727
fixed,9700158,selective,80,1056,2788392,7.575757575757576,28.69037065089844
fixed,9700158,whole,96,1056,2643936,9.090909090909092,36.309502196724885
fixed,9700159,block,112,576,2631184,19.444444444444443,42.56638836356561
fixed,9700159,prefix,112,576,2775464,19.444444444444443,40.35361294543903
fixed,9700159,selective,96,576,2775056,16.666666666666668,34.59389648353043
fixed,9700159,whole,96,576,2618064,16.666666666666668,36.66831674092001
fixed,9700160,block,88,576,2714696,15.277777777777779,32.41615267418525
